store_id,n_items,total_sales,mean_daily_sales_per_item,mean_pct_zero
CA_1,3049,7832248,1.323437604815998,63.75904870964695
CA_2,3049,5818395,0.983151036927505,68.81029058437417
CA_3,3049,11363540,1.9201302307882469,59.399767729861004
CA_4,3049,4182534,0.7067348708852776,71.99951876520016
TX_1,3049,5692823,0.9619327727826574,70.71407437747429
TX_2,3049,7329642,1.2385108148565698,66.31417231416319
TX_3,3049,6205940,1.0486356368225052,69.71507283830022
WI_1,3049,5261506,0.8890518914065286,68.75405640551736
WI_2,3049,6697988,1.131778410975533,70.48004692039298
WI_3,3049,6542557,1.1055147852126415,70.03160975913083
