series_idx,series_id,target_date,origin_idx,target_day_idx,horizon,item_id,dept_id,cat_id,store_id,state_id,wday,month,year,is_weekend,event_name_1,event_type_1,event_name_2,event_type_2,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_28,rolling_std_28,days_since_last_sale,zero_streak_length,days_since_first_sale,days_since_first_listing,pre_listing,first_price_day_idx,snap,sell_price,recent_avg_price,price_rel_to_recent_avg,price_is_missing,sales
0,HOBBIES_1_001_CA_1_evaluation,2016-04-25,1912,1913,1,1437,3,1,0,0,3,4,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1017.0,0,896,0,8.38,8.305,1.0090307,0,0.0
0,HOBBIES_1_001_CA_1_evaluation,2016-04-26,1912,1914,2,1437,3,1,0,0,4,4,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1018.0,0,896,0,8.38,8.305,1.0090307,0,0.0
0,HOBBIES_1_001_CA_1_evaluation,2016-04-27,1912,1915,3,1437,3,1,0,0,5,4,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1019.0,0,896,0,8.38,8.305,1.0090307,0,0.0
0,HOBBIES_1_001_CA_1_evaluation,2016-04-28,1912,1916,4,1437,3,1,0,0,6,4,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1020.0,0,896,0,8.38,8.305,1.0090307,0,2.0
0,HOBBIES_1_001_CA_1_evaluation,2016-04-29,1912,1917,5,1437,3,1,0,0,7,4,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1021.0,0,896,0,8.38,8.305,1.0090307,0,0.0
0,HOBBIES_1_001_CA_1_evaluation,2016-04-30,1912,1918,6,1437,3,1,0,0,1,4,2016,1,22,3,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1022.0,0,896,0,8.38,8.305,1.0090307,0,3.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-01,1912,1919,7,1437,3,1,0,0,2,5,2016,1,21,3,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1023.0,0,896,1,8.38,8.305,1.0090307,0,5.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-02,1912,1920,8,1437,3,1,0,0,3,5,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1024.0,0,896,1,8.38,8.305,1.0090307,0,0.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-03,1912,1921,9,1437,3,1,0,0,4,5,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1025.0,0,896,1,8.38,8.305,1.0090307,0,0.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-04,1912,1922,10,1437,3,1,0,0,5,5,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1026.0,0,896,1,8.38,8.305,1.0090307,0,1.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-05,1912,1923,11,1437,3,1,0,0,6,5,2016,0,3,1,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1027.0,0,896,1,8.38,8.305,1.0090307,0,1.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-06,1912,1924,12,1437,3,1,0,0,7,5,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1028.0,0,896,1,8.38,8.305,1.0090307,0,0.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-07,1912,1925,13,1437,3,1,0,0,1,5,2016,1,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1029.0,0,896,1,8.38,8.305,1.0090307,0,2.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-08,1912,1926,14,1437,3,1,0,0,2,5,2016,1,16,1,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1030.0,0,896,1,8.38,8.305,1.0090307,0,1.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-09,1912,1927,15,1437,3,1,0,0,3,5,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1031.0,0,896,1,8.38,8.305,1.0090307,0,2.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-10,1912,1928,16,1437,3,1,0,0,4,5,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1032.0,0,896,1,8.38,8.305,1.0090307,0,2.0
0,HOBBIES_1_001_CA_1_evaluation,2016-05-11,1912,1929,17,1437,3,1,0,0,5,5,2016,0,0,0,0,0,1.0,1.0,0.0,1.0,1.1428572,0.83299315,0.96428573,1.1174635,0.0,0.0,1011.0,1033.0,0,896,0,8.38,8.305,1.0090307,0,1.0
