series_idx,series_id,factor
0,HOBBIES_1_001_CA_1_evaluation,1.0004777221148786
1,HOBBIES_1_002_CA_1_evaluation,0.9985209738201526
2,HOBBIES_1_003_CA_1_evaluation,1.0003424262113867
3,HOBBIES_1_004_CA_1_evaluation,0.9977342367513838
4,HOBBIES_1_005_CA_1_evaluation,1.002101862519858
5,HOBBIES_1_006_CA_1_evaluation,0.9973096669054478
6,HOBBIES_1_007_CA_1_evaluation,1.0003216266158106
7,HOBBIES_1_008_CA_1_evaluation,1.0289106033166002
8,HOBBIES_1_009_CA_1_evaluation,1.003429560432572
9,HOBBIES_1_010_CA_1_evaluation,1.0010246787797954
10,HOBBIES_1_011_CA_1_evaluation,0.9994784431298076
11,HOBBIES_1_012_CA_1_evaluation,0.9998562481197524
12,HOBBIES_1_013_CA_1_evaluation,1.000685579533776
13,HOBBIES_1_014_CA_1_evaluation,0.996706440913157
14,HOBBIES_1_015_CA_1_evaluation,0.9982078730461357
15,HOBBIES_1_016_CA_1_evaluation,1.002292995425524
16,HOBBIES_1_017_CA_1_evaluation,1.0022210583424485
17,HOBBIES_1_018_CA_1_evaluation,0.9996472982565086
18,HOBBIES_1_019_CA_1_evaluation,1.0256727803680477
19,HOBBIES_1_020_CA_1_evaluation,0.99955207155824
20,HOBBIES_1_021_CA_1_evaluation,0.9981827653590792
21,HOBBIES_1_022_CA_1_evaluation,1.0003440458840414
22,HOBBIES_1_023_CA_1_evaluation,1.0019522853590015
23,HOBBIES_1_024_CA_1_evaluation,0.9998606500240519
24,HOBBIES_1_025_CA_1_evaluation,1.0002735818193944
25,HOBBIES_1_026_CA_1_evaluation,0.9995408119000474
26,HOBBIES_1_027_CA_1_evaluation,0.9996281628072771
27,HOBBIES_1_028_CA_1_evaluation,0.9996938653156042
28,HOBBIES_1_029_CA_1_evaluation,0.9994457249405121
29,HOBBIES_1_030_CA_1_evaluation,1.004889569906156
30,HOBBIES_1_031_CA_1_evaluation,0.9994200639306186
31,HOBBIES_1_032_CA_1_evaluation,0.993126921458711
32,HOBBIES_1_033_CA_1_evaluation,0.9986519634428538
33,HOBBIES_1_034_CA_1_evaluation,0.9991798480450469
34,HOBBIES_1_035_CA_1_evaluation,1.0007458221756824
35,HOBBIES_1_036_CA_1_evaluation,1.0019098761123648
36,HOBBIES_1_037_CA_1_evaluation,0.9997438798515836
37,HOBBIES_1_038_CA_1_evaluation,1.000679407882482
38,HOBBIES_1_039_CA_1_evaluation,1.000189245601418
39,HOBBIES_1_040_CA_1_evaluation,1.0008278852828192
40,HOBBIES_1_041_CA_1_evaluation,0.999322251398216
41,HOBBIES_1_042_CA_1_evaluation,1.0009250389375108
42,HOBBIES_1_043_CA_1_evaluation,0.9965524569510226
43,HOBBIES_1_044_CA_1_evaluation,1.0006442542817815
44,HOBBIES_1_045_CA_1_evaluation,0.9999423357153774
45,HOBBIES_1_046_CA_1_evaluation,0.9999538486812953
46,HOBBIES_1_047_CA_1_evaluation,1.0037783314507243
47,HOBBIES_1_048_CA_1_evaluation,1.0102403031007605
48,HOBBIES_1_049_CA_1_evaluation,0.9998286172132181
49,HOBBIES_1_050_CA_1_evaluation,1.0050074692165474
50,HOBBIES_1_051_CA_1_evaluation,0.9995983983554683
51,HOBBIES_1_052_CA_1_evaluation,1.0007943907108476
52,HOBBIES_1_053_CA_1_evaluation,1.000560046916454
