group,feature,dtype,categorical,missing_pct,min,max,mean
A_calendar,wday,int16,True,0.0,1.0,7.0,4.0
A_calendar,month,int16,True,0.0,4.0,5.0,4.7857
A_calendar,year,int16,True,0.0,2016.0,2016.0,2016.0
A_calendar,is_weekend,int8,False,0.0,0.0,1.0,0.2857
A_calendar,event_name_1,int16,True,0.0,0.0,22.0,2.2143
A_calendar,event_type_1,int16,True,0.0,0.0,3.0,0.2857
A_calendar,event_name_2,int16,True,0.0,0.0,0.0,0.0
A_calendar,event_type_2,int16,True,0.0,0.0,0.0,0.0
A_calendar,snap,int8,False,0.0,0.0,1.0,0.3571
B_historical_demand,lag_1,float32,False,0.0,0.0,130.0,1.6332
B_historical_demand,lag_7,float32,False,0.0,0.0,98.0,1.2482
B_historical_demand,lag_14,float32,False,0.0,0.0,122.0,1.3915
B_historical_demand,lag_28,float32,False,0.0,0.0,61.0,1.1821
B_historical_demand,rolling_mean_7,float32,False,0.0,0.0,108.7143,1.3366
B_historical_demand,rolling_mean_28,float32,False,0.0,0.0,110.3571,1.3864
B_historical_demand,rolling_std_7,float32,False,0.0,0.0,36.4641,1.0241
B_historical_demand,rolling_std_28,float32,False,0.0,0.0,39.2032,1.2366
C_recency,days_since_last_sale,float32,False,0.0,0.0,1662.0,7.0681
C_recency,zero_streak_length,float32,False,0.0,0.0,1662.0,7.0681
C_recency,days_since_first_sale,float32,False,0.0,67.0,1912.0,1505.8057
D_listing,days_since_first_listing,float32,False,0.0,72.0,1940.0,1523.1083
D_listing,pre_listing,int8,False,0.0,0.0,0.0,0.0
E_price,sell_price,float32,False,0.0,0.1,33.72,4.4821
E_price,recent_avg_price,float32,False,0.0,0.2,29.97,4.4813
E_price,price_rel_to_recent_avg,float32,False,0.0,0.0915,2.8,1.0004
E_price,price_is_missing,int8,False,0.0,0.0,0.0,0.0
F_hierarchy,item_id,int16,True,0.0,0.0,3048.0,1524.0
F_hierarchy,dept_id,int16,True,0.0,0.0,6.0,3.161
F_hierarchy,cat_id,int16,True,0.0,0.0,2.0,0.8721
F_hierarchy,store_id,int16,True,0.0,0.0,9.0,4.5
F_hierarchy,state_id,int16,True,0.0,0.0,2.0,0.9
G_horizon,horizon,int8,False,0.0,1.0,28.0,14.5
