store_id,n_rows,mean_sales,median_sales,std_sales,total_sales,zero_pct,pct_of_total_sales
CA_3,5918109,1.9201302307882466,0.0,6.190596227022564,11363540,59.39976772986101,16.978963088729294
CA_1,5918109,1.3234376048159977,0.0,4.0524763858639155,7832248,63.75904870964695,11.702642811463141
TX_2,5918109,1.23851081485657,0.0,4.411699190017845,7329642,66.31417231416319,10.951668315648115
WI_2,5918109,1.131778410975533,0.0,3.8845586917404558,6697988,70.48004692039298,10.0078752766085
WI_3,5918109,1.1055147852126415,0.0,4.061800088055841,6542557,70.03160975913083,9.77563627257945
TX_3,5918109,1.0486356368225054,0.0,3.7940679027447883,6205940,69.7150728383002,9.272676137090087
CA_2,5918109,0.983151036927505,0.0,2.7666391530641454,5818395,68.81029058437417,8.693621348685982
TX_1,5918109,0.9619327727826574,0.0,3.324403922644645,5692823,70.71407437747429,8.505996510565298
WI_1,5918109,0.8890518914065286,0.0,2.427169905533905,5261506,68.75405640551737,7.861539288384406
CA_4,5918109,0.7067348708852778,0.0,2.0037534798122345,4182534,71.99951876520016,6.249380950245724
