id,event_sensitivity_abs_diff,price_sales_corr,cat_id,volume_tier
FOODS_1_002_CA_2_evaluation,-0.01190569158792254,0.18915805149600998,FOODS,Mid-volume
FOODS_1_004_CA_1_evaluation,0.37460687079804345,-0.14729615709812235,FOODS,High-volume
FOODS_1_004_TX_1_evaluation,1.137749632606119,-0.17430398669930922,FOODS,High-volume
FOODS_1_008_CA_4_evaluation,-0.056102998076062977,0.02575097290124341,FOODS,Mid-volume
FOODS_1_021_CA_4_evaluation,-0.33052670438813836,,FOODS,High-volume
FOODS_1_025_CA_4_evaluation,-0.05780685375948663,-0.06478394561390144,FOODS,Mid-volume
FOODS_1_033_TX_2_evaluation,-0.006414306708221809,-0.03592961666711429,FOODS,Low-volume
FOODS_1_034_WI_1_evaluation,-0.0707739054502084,-0.38741889063046286,FOODS,Mid-volume
FOODS_1_035_CA_2_evaluation,0.3151813541393045,0.30186734565808027,FOODS,High-volume
FOODS_1_035_TX_3_evaluation,0.05742703593005674,0.23700855550719638,FOODS,Low-volume
FOODS_1_041_CA_4_evaluation,0.04081444301667647,0.10310264997309725,FOODS,Mid-volume
FOODS_1_044_WI_2_evaluation,0.0941593247051975,-0.21557445880923456,FOODS,High-volume
FOODS_1_048_TX_1_evaluation,0.050203397772208724,,FOODS,Mid-volume
FOODS_1_049_TX_2_evaluation,0.020801238135129962,-0.14956605796555142,FOODS,Mid-volume
FOODS_1_061_CA_4_evaluation,0.12890733154901768,-0.07832277562122787,FOODS,High-volume
FOODS_1_063_CA_2_evaluation,-0.07571153723279633,-0.11396605805230216,FOODS,High-volume
FOODS_1_064_WI_1_evaluation,-0.16760615375877663,-0.1159525191472838,FOODS,High-volume
FOODS_1_069_CA_4_evaluation,-0.06143109678610226,-0.0441405185362987,FOODS,Mid-volume
FOODS_1_073_TX_1_evaluation,-0.04529061388500394,0.012921830720466987,FOODS,Mid-volume
FOODS_1_073_TX_2_evaluation,0.08545546192237519,-0.1806577157225538,FOODS,Mid-volume
FOODS_1_075_TX_2_evaluation,0.14657773486585685,-0.03450970567310855,FOODS,Mid-volume
FOODS_1_083_WI_3_evaluation,-0.17967158181702025,-0.022417551635925827,FOODS,High-volume
FOODS_1_086_WI_2_evaluation,-0.3398943609476279,-0.18781176629650587,FOODS,High-volume
FOODS_1_095_TX_3_evaluation,-0.025550735852673312,-0.18332997242427118,FOODS,High-volume
FOODS_1_099_TX_2_evaluation,0.06138140099533551,-0.0875855993786071,FOODS,High-volume
FOODS_1_103_TX_2_evaluation,-0.01072364170754736,-0.04419791268105355,FOODS,High-volume
FOODS_1_109_WI_3_evaluation,-0.11619230851146911,-0.029225799419409212,FOODS,Mid-volume
FOODS_1_119_TX_2_evaluation,0.055503098887524194,0.08300676480493074,FOODS,Low-volume
FOODS_1_119_TX_3_evaluation,-0.005147064043675487,0.06865302023304035,FOODS,Low-volume
