id,total_sales,mean_sales,std_sales,max_sales,cv
FOODS_1_001_CA_1_evaluation,1526,0.7861926841834106,1.2596575307647837,15,1.6022249457499642
FOODS_1_001_CA_2_evaluation,2232,1.1499227202472952,1.7544306928118971,16,1.525694433130776
FOODS_1_001_CA_3_evaluation,2329,1.199896960329727,2.3377714274730357,24,1.9483101505904519
FOODS_1_001_CA_4_evaluation,694,0.3575476558475013,0.7236298559865899,6,2.0238696692650877
FOODS_1_001_TX_1_evaluation,1145,0.5899021123132406,1.3190831870396145,24,2.2361052105186827
FOODS_1_001_TX_2_evaluation,1120,0.5770221535291087,1.0934988740978644,13,1.8950726023428168
FOODS_1_001_TX_3_evaluation,797,0.4106130860381247,0.824790310879954,10,2.008680041929725
FOODS_1_001_WI_1_evaluation,1095,0.5641421947449768,0.9090791468481447,8,1.6114361863308209
FOODS_1_001_WI_2_evaluation,897,0.46213292117465227,0.9178826963063011,10,1.9861876405022636
FOODS_1_001_WI_3_evaluation,569,0.29314786192684184,0.7005884369745817,6,2.3898807665512534
FOODS_1_002_CA_1_evaluation,934,0.48119526017516745,0.8041655811814529,8,1.671183504361028
FOODS_1_002_CA_2_evaluation,1176,0.6058732612055642,0.9988377381877236,8,1.648591879100656
FOODS_1_002_CA_3_evaluation,624,0.321483771251932,0.6538522354031121,6,2.0338576745471806
FOODS_1_002_CA_4_evaluation,648,0.33384853168469864,0.6363823947150451,5,1.9062009693547877
FOODS_1_002_TX_1_evaluation,332,0.17104585265327152,0.5252455375351363,7,3.070787916734034
FOODS_1_002_TX_2_evaluation,463,0.2385368366821226,0.5298110169859425,5,2.2210867904313485
FOODS_1_002_TX_3_evaluation,539,0.27769191138588356,0.6156565767507047,4,2.21704900829892
FOODS_1_002_WI_1_evaluation,1463,0.7537351880473983,1.0779623341082039,8,1.4301605540013833
FOODS_1_002_WI_2_evaluation,641,0.33024214322514167,0.6701726143979717,5,2.0293370429742015
FOODS_1_002_WI_3_evaluation,645,0.3323029366306028,0.7007597518633449,6,2.1087979509562054
FOODS_1_003_CA_1_evaluation,1612,0.8304997424008244,1.1610594200698434,9,1.398025021312386
FOODS_1_003_CA_2_evaluation,3180,1.6383307573415764,1.872220715639306,11,1.142761134923237
FOODS_1_003_CA_3_evaluation,2005,1.0329726944873776,1.3261621527700107,9,1.283830792282589
FOODS_1_003_CA_4_evaluation,924,0.4760432766615147,1.0087595762431452,22,2.119050148796477
FOODS_1_003_TX_1_evaluation,887,0.4569809376609995,0.9556284455399472,11,2.091177917466784
FOODS_1_003_TX_2_evaluation,824,0.4245234415249871,0.7699888485547473,8,1.8137722755397627
FOODS_1_003_TX_3_evaluation,292,0.15043791859866049,0.4320128671773559,4,2.8717019698330404
FOODS_1_003_WI_1_evaluation,2441,1.257599175682638,1.711874900911413,18,1.3612245729901893
FOODS_1_003_WI_2_evaluation,720,0.37094281298299847,0.9494765716593648,12,2.559630591098371
FOODS_1_003_WI_3_evaluation,693,0.357032457496136,0.7751210437416369,11,2.1710100229473555
FOODS_1_004_CA_1_evaluation,15892,8.18753219989696,8.824337780102194,71,1.0777774749042512
FOODS_1_004_CA_2_evaluation,10782,5.5548686244204015,7.321603624534279,61,1.3180516263421478
FOODS_1_004_CA_3_evaluation,17698,9.117980422462647,10.801297709435833,116,1.1846151460060432
FOODS_1_004_CA_4_evaluation,3793,1.9541473467284904,2.5030825443118294,20,1.280907782364688
FOODS_1_004_TX_1_evaluation,11067,5.701700154559505,6.016912777830981,53,1.0552839705222676
FOODS_1_004_TX_2_evaluation,13275,6.839258114374034,8.15392665295029,61,1.1922238518551045
FOODS_1_004_TX_3_evaluation,12857,6.623905203503349,6.81052289190133,42,1.028173363395853
FOODS_1_004_WI_1_evaluation,13696,7.056156620298815,7.991454163905831,73,1.1325505645547036
FOODS_1_004_WI_2_evaluation,19432,10.011334363730036,11.186925142611376,69,1.1174259830078572
FOODS_1_004_WI_3_evaluation,13759,7.088614116434828,8.544509250745108,55,1.2053850174937317
FOODS_1_005_CA_1_evaluation,2266,1.1674394641937145,2.018545737377547,26,1.7290367503308999
FOODS_1_005_CA_2_evaluation,5916,3.047913446676971,4.091010011243224,29,1.34223300064623
FOODS_1_005_CA_3_evaluation,3709,1.9108706852138073,2.982904955488066,24,1.5610187432198264
FOODS_1_005_CA_4_evaluation,934,0.48119526017516745,0.8928593091156235,9,1.8555031252606264
FOODS_1_005_TX_1_evaluation,1365,0.7032457496136012,1.4673542976857439,26,2.0865455617641238
FOODS_1_005_TX_2_evaluation,2065,1.0638845955692942,2.1074338612299206,30,1.9808857746475912
FOODS_1_005_TX_3_evaluation,1744,0.8985059247810407,1.3770964649599107,14,1.532651512894029
FOODS_1_005_WI_1_evaluation,2025,1.0432766615146831,1.5368941703789252,18,1.473141523311355
FOODS_1_005_WI_2_evaluation,1732,0.8923235445646573,1.4749621034471232,15,1.6529454057683985
FOODS_1_005_WI_3_evaluation,1663,0.8567748583204534,1.438459838334595,16,1.6789239604374315
FOODS_1_006_CA_1_evaluation,2933,1.5110767645543535,1.8704169899434506,19,1.2378040836959556
FOODS_1_006_CA_2_evaluation,2590,1.3343637300360638,1.8324112247250186,24,1.3732471765217225
FOODS_1_006_CA_3_evaluation,3110,1.6022668727460072,2.216264855604025,24,1.3832058150248916
FOODS_1_006_CA_4_evaluation,1963,1.011334363730036,1.431917221733101,12,1.4158692447192813
FOODS_1_006_TX_1_evaluation,1012,0.521380731581659,1.0006087579129237,10,1.9191517777756766
FOODS_1_006_TX_2_evaluation,1332,0.6862442040185471,1.176208025697454,13,1.71397881222129
FOODS_1_006_TX_3_evaluation,1746,0.8995363214837713,1.8062619575017944,26,2.007992244851651
FOODS_1_006_WI_1_evaluation,3287,1.693456980937661,1.9353742949825836,20,1.142854124296074
FOODS_1_006_WI_2_evaluation,2380,1.226172076249356,1.7197623994554272,22,1.4025457215726824
FOODS_1_006_WI_3_evaluation,2276,1.1725914477073673,1.769614942246966,27,1.5091487710462923
FOODS_1_008_CA_1_evaluation,452,0.2328696548171046,0.6904140831394244,7,2.9648091490566877
FOODS_1_008_CA_2_evaluation,137,0.07058217413704276,0.33929144038293446,4,4.807041502067706
FOODS_1_008_CA_3_evaluation,439,0.226172076249356,0.6436487718535024,6,2.8458365971928203
FOODS_1_008_CA_4_evaluation,530,0.27305512622359607,0.648265243816894,7,2.3741185627331913
FOODS_1_008_TX_1_evaluation,155,0.07985574446161772,0.32792880136889746,4,4.106514861013096
FOODS_1_008_TX_2_evaluation,263,0.1354971664090675,0.5521113388920788,10,4.074707637982984
FOODS_1_008_TX_3_evaluation,232,0.11952601751674395,0.4530935839794673,10,3.7907527866558017
FOODS_1_008_WI_1_evaluation,879,0.4528593508500773,0.8683841584819847,10,1.9175581929619252
FOODS_1_008_WI_2_evaluation,478,0.24626481195260175,0.6797078738369943,10,2.7600690023380876
FOODS_1_008_WI_3_evaluation,453,0.23338485316846985,0.6935924192778732,14,2.971882750150887
FOODS_1_009_CA_1_evaluation,925,0.47655847501287996,1.0591241787860473,13,2.2224432767823976
FOODS_1_009_CA_2_evaluation,1309,0.6743946419371458,1.4363142646572422,13,2.129783031092213
FOODS_1_009_CA_3_evaluation,1806,0.9304482225656878,2.092156499789519,17,2.2485469358202965
