store_id,non_event_mean,event_mean,pct_diff
TX_1,0.9614667295272744,0.9671919824304296,0.59547072481334
TX_2,1.2398009553071012,1.2239518248357004,-1.2783608855564186
TX_3,1.051325269246907,1.018283645602833,-3.1428545104544714
CA_2,0.9860978848558237,0.9498964175845162,-3.6711839491066907
CA_3,1.9268467342252649,1.8443357647869607,-4.282176053378718
WI_3,1.1101211526006247,1.0535328038659697,-5.097493062094021
CA_4,0.7099364336513705,0.6706058429615852,-5.540015813457943
CA_1,1.3297303143809092,1.252425572194245,-5.813565453883437
WI_1,0.895471920861855,0.8166030779961058,-8.807517134634574
WI_2,1.1402477058668041,1.0362040262215044,-9.124655906780081
