store_id,non_snap_mean,snap_mean,pct_diff
WI_2,1.0210535125867555,1.3568613684814694,32.8883698802399
WI_3,1.0207414182243444,1.2778431452935388,25.18774319126209
TX_1,0.9231859641232657,1.0406977697605773,12.728941968795048
TX_3,1.0093517386655924,1.1284924360446047,11.803684762709342
CA_3,1.8538833689754506,2.0547976795670713,10.837483843584835
TX_2,1.1976217804554814,1.3216305551000327,10.354585785621575
CA_1,1.2819129720584792,1.4078493973433912,9.824101013868743
WI_1,0.8747362134584266,0.9181529804854051,4.963412553291068
CA_4,0.6960637035516994,0.7284273532305674,4.649524104436251
CA_2,0.9755341212665586,0.9986347982945228,2.3680029764588975
